Original Filename,Sanitized Filename,Firebase Storage URL,Folder,Status
"Chakra.mp3","chakra.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/chakra.mp3","page1to4","success"
"Gahrai.mp3","gahrai.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/gahrai.mp3","page1to4","success"
"Ganesh Vandana.mp3","ganesh_vandana.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/ganesh_vandana.mp3","page1to4","success"
"Hanuman Ji Ki Chalisa.mp3","hanuman_ji_ki_chalisa.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/hanuman_ji_ki_chalisa.mp3","page1to4","success"
"Jai Jai Devu Devta.mp3","jai_jai_devu_devta.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/jai_jai_devu_devta.mp3","page1to4","success"
"Navakar Mantra.mp3","navakar_mantra.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/navakar_mantra.mp3","page1to4","success"
"Raahat (1).mp3","raahat_1.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/raahat_1.mp3","page1to4","success"
"Radhe.mp3","radhe.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/radhe.mp3","page1to4","success"
"Raham (1).mp3","raham_1.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/raham_1.mp3","page1to4","success"
"Raham.mp3","raham.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/raham.mp3","page1to4","success"
"Sard Yaad.mp3","sard_yaad.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/sard_yaad.mp3","page1to4","success"
"Shiv Shankar.mp3","shiv_shankar.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/shiv_shankar.mp3","page1to4","success"
"Sufi Shanti.mp3","sufi_shanti.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/sufi_shanti.mp3","page1to4","success"
"Untitled.mp3","untitled.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/untitled.mp3","page1to4","success"
"raahat.mp3","raahat.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/raahat.mp3","page1to4","success"
"और प्यारी मां.mp3","__.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/__.mp3","page1to4","success"
"गहराई.mp3",".mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/.mp3","page1to4","success"
"जय श्री गणेश.mp3","__.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/__.mp3","page1to4","success"
"पत्नीजी.mp3",".mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/.mp3","page1to4","success"
"मन का उजाला.mp3","__.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/__.mp3","page1to4","success"
"Joyful Radiance.mp3","joyful_radiance.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/joyful_radiance.mp3","last2","success"
"Serene Resettling Journey.mp3","serene_resettling_journey.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/serene_resettling_journey.mp3","last2","success"
"Chakra Vibrations – Full Spectrum Activation.mp3","chakra_vibrations__full_spectrum_activation.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/chakra_vibrations__full_spectrum_activation.mp3","missingone","success"
"Mehboob ki Aankhein (1).mp3","mehboob_ki_aankhein_1.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/mehboob_ki_aankhein_1.mp3","missingone","success"
"Mehboob ki Aankhein.mp3","mehboob_ki_aankhein.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/mehboob_ki_aankhein.mp3","missingone","success"
"Milan (1).mp3","milan_1.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/milan_1.mp3","missingone","success"
"Milan.mp3","milan.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/milan.mp3","missingone","success"
"tu kya hai (1).mp3","tu_kya_hai_1.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/tu_kya_hai_1.mp3","missingone","success"
"tu kya hai (2).mp3","tu_kya_hai_2.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/tu_kya_hai_2.mp3","missingone","success"
"tu kya hai (3).mp3","tu_kya_hai_3.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/tu_kya_hai_3.mp3","missingone","success"
"tu kya hai.mp3","tu_kya_hai.mp3","https://storage.googleapis.com/rraasi-8a619-music-storage/bulk-upload/tu_kya_hai.mp3","missingone","success"
